date,gld,slv,gld_idx,slv_idx
2024-01-12,189.71,21.19,110.90260727230212,96.09977324263039
2024-01-16,187.91,20.96,109.85034490821934,95.05668934240363
2024-01-17,185.84,20.65,108.64024318952414,93.65079365079364
2024-01-18,187.37,20.81,109.5346661989945,94.37641723356009
2024-01-19,187.93,20.67,109.86203671226471,93.74149659863946
2024-01-22,187.22,20.22,109.44697766865428,91.70068027210884
2024-01-23,187.95,20.53,109.87372851631005,93.10657596371883
2024-01-24,186.4,20.71,108.96761370279435,93.92290249433105
2024-01-25,187.14,20.94,109.4002104524728,94.96598639455782
2024-01-26,187.01,20.86,109.32421372617793,94.6031746031746
2024-01-29,188.33,21.21,110.09587279317199,96.19047619047619
2024-01-30,188.59,21.19,110.24786624576173,96.09977324263039
2024-01-31,188.45,20.91,110.16602361744417,94.82993197278911
2024-02-01,190.41,21.21,111.31182041388985,96.19047619047619
2024-02-02,188.61,20.75,110.2595580498071,94.10430839002267
2024-02-05,187.57,20.47,109.65158423944814,92.8344671201814
2024-02-06,188.55,20.51,110.224482637671,93.01587301587301
2024-02-07,188.5,20.33,110.19525312755758,92.19954648526077
2024-02-08,188.33,20.65,110.09587279317199,93.65079365079364
2024-02-09,187.6,20.68,109.6691219455162,93.78684807256235
2024-02-12,187.11,20.76,109.38267274640478,94.14965986394557
2024-02-13,184.53,20.2,107.8744300245528,91.60997732426304
2024-02-14,184.42,20.44,107.81012510230327,92.6984126984127
2024-02-15,185.66,20.94,108.53501695311587,94.96598639455782
2024-02-16,186.34,21.39,108.93253829065826,97.00680272108843
2024-02-20,187.47,21.07,109.59312521922133,95.55555555555554
2024-02-21,187.48,20.96,109.59897112124399,95.05668934240363
2024-02-22,187.56,20.82,109.64573833742546,94.42176870748298
2024-02-23,188.62,20.99,110.26540395182978,95.19274376417232
2024-02-26,188.2,20.62,110.0198760668771,93.51473922902494
2024-02-27,188.0,20.57,109.90295802642348,93.28798185941042
2024-02-28,188.34,20.55,110.10171869519468,93.19727891156462
2024-02-29,189.31,20.73,110.66877119139482,94.01360544217687
2024-03-01,192.89,21.17,112.76160411551501,96.00907029478458
2024-03-04,196.01,21.86,114.58552554659182,99.13832199546485
2024-03-05,197.19,21.67,115.27534198526833,98.27664399092971
2024-03-06,198.81,22.1,116.22237811294282,100.2267573696145
2024-03-07,199.94,22.24,116.8829650415059,100.86167800453514
2024-03-08,201.63,22.23,117.87092248333917,100.81632653061223
2024-03-11,202.0,22.35,118.08722085817843,101.36054421768708
2024-03-12,199.79,22.09,116.79527651116565,100.1814058956916
2024-03-13,201.19,22.79,117.61370279434115,103.35600907029479
2024-03-14,200.35,22.73,117.12264702443586,103.08390022675738
2024-03-15,199.71,23.03,116.74850929498422,104.44444444444446
2024-03-18,200.03,22.91,116.93557815971005,103.90022675736961
2024-03-19,199.8,22.79,116.80112241318837,103.35600907029479
2024-03-20,202.18,23.29,118.1924470945867,105.62358276643991
2024-03-21,201.97,22.65,118.06968315211037,102.72108843537413
2024-03-22,200.35,22.56,117.12264702443586,102.31292517006803
2024-03-25,200.99,22.58,117.49678475388751,102.40362811791381
2024-03-26,201.64,22.34,117.87676838536186,101.31519274376417
2024-03-27,203.1,22.51,118.73027008067345,102.08616780045352
2024-03-28,205.72,22.75,120.26189641061616,103.17460317460316
2024-04-01,207.82,22.86,121.4895358353794,103.6734693877551
2024-04-02,210.89,23.84,123.2842277563428,108.11791383219955
2024-04-03,212.74,24.73,124.36571963053899,112.15419501133788
2024-04-04,211.52,24.49,123.65251958377176,111.0657596371882
2024-04-05,215.14,25.03,125.76873611598269,113.51473922902495
2024-04-08,216.48,25.4,126.5520869870221,115.19274376417232
2024-04-09,217.67,25.72,127.24774932772125,116.64399092970521
2024-04-10,215.61,25.45,126.04349351104875,115.41950113378685
2024-04-11,219.8,26.01,128.49292645855257,117.95918367346938
2024-04-12,216.89,25.63,126.79176896995206,116.23582766439908
2024-04-15,220.95,26.41,129.165205191161,119.7732426303855
2024-04-16,221.22,25.8,129.32304454577343,117.00680272108843
2024-04-17,219.59,25.85,128.37016251607622,117.23356009070297
2024-04-18,220.34,25.86,128.8086051677774,117.27891156462584
2024-04-19,221.03,26.2,129.21197240734244,118.82086167800452
2024-04-22,215.57,24.93,126.02010990295803,113.06122448979592
2024-04-23,215.04,24.99,125.71027709575586,113.33333333333333
2024-04-24,214.64,24.9,125.47644101484859,112.9251700680272
2024-04-25,215.92,25.06,126.22471647375188,113.65079365079364
2024-04-26,216.62,24.89,126.63392961533965,112.8798185941043
2024-04-29,216.18,24.83,126.37670992634165,112.60770975056688
2024-04-30,211.87,24.05,123.85712615456566,109.0702947845805
