type,lookback,n_long,n_short,total_return,ann_return,ann_vol,sharpe,max_drawdown,calmar,n_weeks,key
momentum,2,3,3,0.007445046532492672,0.0018471986444397182,0.28637218549406274,0.006450342379630355,-0.5859257872368442,0.0031526153732725874,209,momentum_lb2_L3_S3
momentum,2,10,8,0.0032416877189818116,0.0008055641414552728,0.17232298841121546,0.00467473404960312,-0.3600082721860758,0.002237626753862213,209,momentum_lb2_L10_S8
hybrid,26,8,3,-0.002713723970577009,-0.0006758741989475459,0.30443812753986405,-0.002220070805221481,-0.5304762814979808,-0.0012740893844282433,209,hybrid_lb26_L8_S3
hybrid,8,10,5,-0.004532061581430158,-0.0011295187917294003,0.22849739336009503,-0.00494324585116541,-0.4929198749476964,-0.002291485592560562,209,hybrid_lb8_L10_S5
hybrid,8,3,8,-0.017361001586097102,-0.0043479388556825205,0.2815496373154404,-0.01544288565646849,-0.5291876519899696,-0.008216251530685626,209,hybrid_lb8_L3_S8
hybrid,2,5,3,-0.018283881429914994,-0.004580677808743494,0.2463201708114406,-0.018596438097836607,-0.4176829581374808,-0.010966877435386673,209,hybrid_lb2_L5_S3
momentum,2,3,5,-0.023831782320107076,-0.005983264763083751,0.2696673653718355,-0.022187574513636912,-0.5623122052670173,-0.010640467532164915,209,momentum_lb2_L3_S5
hybrid,13,8,5,-0.02346276591547103,-0.0058897866130669385,0.2547420776366781,-0.023120587959823247,-0.49452594046596643,-0.011909964940397857,209,hybrid_lb13_L8_S5
hybrid,8,3,5,-0.029375675340166274,-0.007390832875893372,0.29789562026506017,-0.024810142792019537,-0.6012305272335109,-0.012292843661650697,209,hybrid_lb8_L3_S5
momentum,2,5,8,-0.023196194599996334,-0.005822276058073728,0.21806207239954425,-0.026700085870072176,-0.4557708506989341,-0.012774568731513097,209,momentum_lb2_L5_S8
hybrid,2,10,3,-0.025093954525140516,-0.006303195320290889,0.20727040395709795,-0.030410493731635516,-0.36927876974496066,-0.017068935007133332,209,hybrid_lb2_L10_S3
hybrid,26,10,3,-0.05348774673609624,-0.013583979044014427,0.29516539628586475,-0.046021583881257135,-0.5522860557529252,-0.02459591167025853,209,hybrid_lb26_L10_S3
hybrid,13,3,5,-0.05868430912042,-0.014934199236248613,0.310673791184208,-0.04807035437177792,-0.48771739625135546,-0.03062059986179365,209,hybrid_lb13_L3_S5
mean_reversion,2,3,5,-0.051529759749195714,-0.01307668054717237,0.26055698635490804,-0.05018741093881265,-0.4667179504889595,-0.028018379266262456,209,mean_reversion_lb2_L3_S5
mean_reversion,2,8,8,-0.04942340255123734,-0.012531818142856421,0.1868289629731423,-0.0670764208259184,-0.26889904240255724,-0.046604175421701845,209,mean_reversion_lb2_L8_S8
mean_reversion,2,10,5,-0.06689750212431544,-0.017079692878808617,0.20922152461433563,-0.0816344920069392,-0.3401265225973832,-0.05021570428668482,209,mean_reversion_lb2_L10_S5
hybrid,2,3,3,-0.09076814091598018,-0.02339691140678024,0.28642393072497424,-0.08168630095802322,-0.4443099572327448,-0.052658985075421424,209,hybrid_lb2_L3_S3
momentum,8,8,3,-0.12812630827063742,-0.03353835987435161,0.29726325648846125,-0.11282376527303317,-0.45950426106587017,-0.07298813681630663,209,momentum_lb8_L8_S3
hybrid,13,5,3,-0.13765423212561045,-0.036176979199795345,0.3091297989952681,-0.11702844344795472,-0.5046263572332685,-0.07169062551180254,209,hybrid_lb13_L5_S3
momentum,2,8,8,-0.08522375585828179,-0.021918614743292264,0.1868289629731423,-0.11731914792270824,-0.4322200278910302,-0.05071170544836092,209,momentum_lb2_L8_S8
hybrid,13,10,5,-0.11311289146739978,-0.02942423257209681,0.2485745951188803,-0.11837184149098072,-0.4780855016254687,-0.06154596295444177,209,hybrid_lb13_L10_S5
hybrid,2,8,3,-0.11952137003735219,-0.031173898592091187,0.2225032584440045,-0.14010535760282564,-0.4203308852374438,-0.07416513914860465,209,hybrid_lb2_L8_S3
mean_reversion,8,3,8,-0.1961602203058812,-0.05287825608810204,0.29726325648846125,-0.17788359285552868,-0.4431780855522893,-0.1193160442989979,209,mean_reversion_lb8_L3_S8
mean_reversion,2,8,5,-0.15387853106882554,-0.040720901918602004,0.21806207239954425,-0.18673995652022937,-0.3745128576866633,-0.10873031748531102,209,mean_reversion_lb2_L8_S5
momentum,4,10,8,-0.1426169631653309,-0.03756001857571023,0.1963296022760353,-0.1913110307374923,-0.40937715114507967,-0.09174918158145882,209,momentum_lb4_L10_S8
hybrid,4,3,5,-0.2058524979460299,-0.055732528958153726,0.2860019993328869,-0.19486762011507777,-0.4251422705026475,-0.13109147884133215,209,hybrid_lb4_L3_S5
